city,timestamp,temperature,season
New York,2010-01-01,-4.689705331069192,winter
New York,2010-01-02,-8.288547159577396,winter
New York,2010-01-03,6.207484301484591,winter
New York,2010-01-04,-6.197755933806487,winter
New York,2010-01-05,-3.2722474426398658,winter
New York,2010-01-06,-10.632340135045858,winter
New York,2010-01-07,0.2194159376572755,winter
New York,2010-01-08,4.104307954009697,winter
New York,2010-01-09,0.6966376503232072,winter
New York,2010-01-10,-16.08695324048363,winter
New York,2010-01-11,-4.872255476280126,winter
New York,2010-01-12,3.0357326054811313,winter
New York,2010-01-13,2.7407845509077404,winter
New York,2010-01-14,-1.4177746282051953,winter
New York,2010-01-15,-1.6026854316296912,winter
New York,2010-01-16,0.9025944897663424,winter
New York,2010-01-17,-3.5793758284448343,winter
New York,2010-01-18,2.502627910856017,winter
New York,2010-01-19,1.0428774031976686,winter
New York,2010-01-20,0.3073939208819606,winter
New York,2010-01-21,10.459847022153163,winter
New York,2010-01-22,-4.922109926819911,winter
New York,2010-01-23,1.0280458166823412,winter
New York,2010-01-24,5.24400747845247,winter
New York,2010-01-25,-8.429172192602788,winter
New York,2010-01-26,-3.0272189186988703,winter
New York,2010-01-27,-5.393117040381514,winter
New York,2010-01-28,-0.345434797008929,winter
New York,2010-01-29,-4.99630071963796,winter
New York,2010-01-30,-3.252546500369765,winter
New York,2010-01-31,12.119443028048217,winter
New York,2010-02-01,-8.377721729336129,winter
New York,2010-02-02,-0.49690500094507123,winter
New York,2010-02-03,2.479457256361665,winter
New York,2010-02-04,-2.776239784479615,winter
New York,2010-02-05,-7.058096703707032,winter
New York,2010-02-06,-0.36647910326748917,winter
New York,2010-02-07,3.807143863704996,winter
New York,2010-02-08,7.996240630610099,winter
New York,2010-02-09,8.496768772200365,winter
New York,2010-02-10,3.836633308718631,winter
New York,2010-02-11,10.671969329605888,winter
New York,2010-02-12,-0.18327188287896096,winter
New York,2010-02-13,-2.670382953802872,winter
New York,2010-02-14,-1.3673285569482587,winter
New York,2010-02-15,8.03297820244363,winter
New York,2010-02-16,3.924163701819439,winter
New York,2010-02-17,-0.576603369114501,winter
New York,2010-02-18,-5.176907515342837,winter
New York,2010-02-19,3.9580623185853128,winter
New York,2010-02-20,-0.5514057334327678,winter
New York,2010-02-21,-3.0246634235143146,winter
New York,2010-02-22,1.9835837026800118,winter
New York,2010-02-23,-2.5117942624357683,winter
New York,2010-02-24,-5.041839095223201,winter
New York,2010-02-25,-1.3280269251608188,winter
New York,2010-02-26,0.6290932846700286,winter
New York,2010-02-27,2.6110441994567135,winter
New York,2010-02-28,-0.9422530816889563,winter
New York,2010-03-01,14.990197330770503,spring
New York,2010-03-02,3.9492923777977467,spring
New York,2010-03-03,7.941369600208195,spring
New York,2010-03-04,16.289130591847844,spring
New York,2010-03-05,14.49960813124607,spring
New York,2010-03-06,12.31515868840781,spring
New York,2010-03-07,9.742139483879132,spring
New York,2010-03-08,3.3316650406268957,spring
New York,2010-03-09,14.762931333070346,spring
New York,2010-03-10,5.393702010466618,spring
New York,2010-03-11,1.1833205434119822,spring
New York,2010-03-12,1.7081129602638399,spring
New York,2010-03-13,16.0187215892766,spring
New York,2010-03-14,9.226992268652612,spring
New York,2010-03-15,8.242234334708886,spring
New York,2010-03-16,7.063638590490216,spring
New York,2010-03-17,18.67214638609276,spring
New York,2010-03-18,12.528712267553537,spring
New York,2010-03-19,12.489292525030372,spring
New York,2010-03-20,6.558589464447158,spring
New York,2010-03-21,9.031866851148916,spring
New York,2010-03-22,7.443662573858573,spring
New York,2010-03-23,5.640100292457339,spring
New York,2010-03-24,8.411289647699705,spring
New York,2010-03-25,13.047990535198881,spring
New York,2010-03-26,0.7491887784565527,spring
New York,2010-03-27,16.10299874408005,spring
New York,2010-03-28,3.273807126085682,spring
New York,2010-03-29,18.110036852402086,spring
New York,2010-03-30,15.686716476154242,spring
New York,2010-03-31,2.7944040276479587,spring
New York,2010-04-01,19.95563045188785,spring
New York,2010-04-02,12.790240467916075,spring
New York,2010-04-03,3.385299031490476,spring
New York,2010-04-04,13.826167821201922,spring
New York,2010-04-05,5.9077013592029495,spring
New York,2010-04-06,6.765975110467726,spring
New York,2010-04-07,13.546617308626185,spring
New York,2010-04-08,12.523497885898484,spring
New York,2010-04-09,9.470230455346186,spring
New York,2010-04-10,7.700179557834772,spring
New York,2010-04-11,15.587332741791403,spring
New York,2010-04-12,11.182008400104886,spring
New York,2010-04-13,0.38362365748539595,spring
New York,2010-04-14,6.200636111729532,spring
New York,2010-04-15,14.071401425498161,spring
New York,2010-04-16,11.581202768247964,spring
New York,2010-04-17,11.637399828660534,spring
New York,2010-04-18,10.069996267027987,spring
New York,2010-04-19,5.829959978769851,spring
New York,2010-04-20,15.016207370310134,spring
New York,2010-04-21,9.898879797034184,spring
New York,2010-04-22,9.247606837180257,spring
New York,2010-04-23,1.788782072835188,spring
New York,2010-04-24,-3.6187469971041324,spring
New York,2010-04-25,12.105615520169305,spring
New York,2010-04-26,10.742510505869078,spring
New York,2010-04-27,6.990807366660022,spring
New York,2010-04-28,14.544635188578876,spring
New York,2010-04-29,2.51515037746449,spring
New York,2010-04-30,12.894345242424519,spring
New York,2010-05-01,13.078327045240467,spring
New York,2010-05-02,4.347659267503618,spring
New York,2010-05-03,8.190139146309926,spring
New York,2010-05-04,10.029691821603702,spring
New York,2010-05-05,4.789572844088915,spring
New York,2010-05-06,6.915961152571838,spring
New York,2010-05-07,10.799112243962252,spring
New York,2010-05-08,17.020238720805292,spring
New York,2010-05-09,11.608770379987991,spring
New York,2010-05-10,8.332535500448724,spring
New York,2010-05-11,16.13754774382576,spring
